id;regione;Longitude;Latitude;Elevation;SiteName;regione2;d_costa
abruzzo_2094;abruzzo;13.79805556;42.5;510;Arsita ;Abruzzo;-0.8104832172393799
abruzzo_2176;abruzzo;13.51805556;42.41972222;1038;Assergi ;Abruzzo;-0.7085843086242676
abruzzo_2168;abruzzo;13.56722222;42.24805556;620;Aterno a Fagnano ;Abruzzo;-0.6783023476600647
abruzzo_2177;abruzzo;13.82972222;42.15638889;248;Aterno Sagittario a Allogg.idr ;Abruzzo;-0.7149685025215149
abruzzo_2274;abruzzo;13.57388889;42.32361111;932;Barisciano ;Abruzzo;-0.7018817067146301
abruzzo_2203;abruzzo;13.67694444;42.19194444;713;Beffi ;Abruzzo;-0.6908298134803772
abruzzo_1999;abruzzo;13.40638889;42.53611111;1392;Campotosto ;Abruzzo;-0.6976927518844604
abruzzo_2280;abruzzo;14.01916667;42.15083333;785;Caramanico meteo ;Abruzzo;-0.7608952522277832
abruzzo_1966;abruzzo;14.25805556;42.09555556;302;Casoli Diga ;Abruzzo;-0.8025025725364685
abruzzo_1112;abruzzo;13.94527778;42.34611111;323;Catignano ;Abruzzo;-0.8115124106407166
abruzzo_606;abruzzo;14.18305556;42.37694444;244;Chieti ;Abruzzo;-0.876912534236908
abruzzo_2045;abruzzo;13.61472222;42.49111111;685;Fano a Corno ;Abruzzo;-0.7514497637748718
abruzzo_2137;abruzzo;13.95277778;42.74805556;55;Giulianova ;Abruzzo;-0.9129052758216858
abruzzo_2213;abruzzo;13.79888889;42.08222222;904;Goriano Sicoli ;Abruzzo;-0.6838564872741699
abruzzo_1940;abruzzo;14.38444444;42.22583333;273;Lanciano ;Abruzzo;-0.876912534236908
abruzzo_2159;abruzzo;13.42861111;42.33416667;618;L'Aquila ;Abruzzo;-0.6602301597595215
abruzzo_1975;abruzzo;14.42805556;41.94222222;792;Montazzoli ;Abruzzo;-0.7870989441871643
abruzzo_2135;abruzzo;13.24138889;42.52611111;825;Montereale ;Abruzzo;-0.6442474126815796
abruzzo_2089;abruzzo;14.06666667;42.42611111;156;Moscufo ;Abruzzo;-0.8657842874526978
abruzzo_1540;abruzzo;14.2425;42.44972222;2;Pescara ;Abruzzo;-0.9171728491783142
aeronautica_6810;abruzzo;14.2;42.433;11;Pescara AM;Abruzzo;-0.9017858505249023
abruzzo_1707;abruzzo;14.05888889;41.88805556;1371;Pescocostanzo ;Abruzzo;-0.6843252778053284
abruzzo_2029;abruzzo;13.55472222;42.52361111;1126;Pietracamela ;Abruzzo;-0.7415784001350403
abruzzo_2078;abruzzo;14.055;42.62361111;5;Pineto ;Abruzzo;-0.9171728491783142
abruzzo_2073;abruzzo;13.76861111;42.60888889;136;Ponte Vomano ;Abruzzo;-0.8255438804626465
abruzzo_2281;abruzzo;13.96083333;42.17861111;430;Salle ;Abruzzo;-0.7549484372138977
abruzzo_2256;abruzzo;13.60277778;42.6475;734;Santo Stefano ;Abruzzo;-0.783576250076294
abruzzo_2258;abruzzo;13.91444444;42.06861111;365;Sulmona ;Abruzzo;-0.706326425075531
abruzzo_2;abruzzo;13.71722222;42.65472222;264;Teramo ;Abruzzo;-0.8197633624076843
abruzzo_2142;abruzzo;13.30166667;42.28861111;880;Tornimparte ;Abruzzo;-0.6129744648933411
